tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1983$201,Guaruja,Hard,64,A,19830124,30,100752,"","",Ramesh Krishnan,R,170,IND,21.5797399042,100,0,100221,11,"",Carlos Kirmayr,R,173,BRA,32.2792607803,52,0,6$4 6$3,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,31,100993,"",Q,Loic Courteau,R,175,FRA,18.9924709103,166,0,100395,15,"",Victor Pecci,R,193,PAR,27.2197125257,68,0,6$1 6$3,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,32,101062,2,"",Mats Wilander,R,183,SWE,18.3655030801,7,0,100636,"","",Gustavo Tiberti,R,175,ARG,23.0636550308,158,0,6$3 6$0,3,R32,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,33,100555,1,"",Jose Luis Clerc,R,185,ARG,24.3832991102,6,0,100651,"","",Alejandro Ganzabal,R,180,ARG,22.8802190281,92,0,6$4 6$1,3,R16,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,34,100402,"","",Francisco Gonzalez,R,193,PAR,27.1238877481,114,0,100436,"","",Nick Saviano,L,180,USA,26.5790554415,98,0,6$3 7$6,3,R16,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,35,100653,3,"",Andres Gomez,L,193,ECU,22.8501026694,15,0,100323,"","",Givaldo Barbosa,R,183,BRA,28.93908282,110,0,6$3 6$3,3,R16,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,36,100599,"","",Bernard Boileau,R,185,BEL,23.6112251882,71,0,100631,14,"",Tim Wilkison,L,180,USA,23.112936345,55,0,DEF,3,R16,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,37,100345,"","",Pat Dupre,R,190,USA,28.2984257358,82,0,100155,"","",Ramiro Benavides,R,,BOL,34.9267624914,209,0,6$2 6$0,3,R16,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,38,100434,4,"",Tomas Smid,R,190,CZE,26.6228610541,23,0,101131,"","",Jimmy Brown,R,180,USA,17.6837782341,97,0,6$2 5$7 6$3,3,R16,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,39,100752,"","",Ramesh Krishnan,R,170,IND,21.5797399042,100,0,100640,"","",Stefan Simonsson,R,175,SWE,22.9952087611,105,0,6$0 6$1,3,R16,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,40,101062,2,"",Mats Wilander,R,183,SWE,18.3655030801,7,0,100993,"",Q,Loic Courteau,R,175,FRA,18.9924709103,166,0,6$1 6$1,3,R16,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,41,100555,1,"",Jose Luis Clerc,R,185,ARG,24.3832991102,6,0,100402,"","",Francisco Gonzalez,R,193,PAR,27.1238877481,114,0,6$4 6$4,3,QF,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,42,100599,"","",Bernard Boileau,R,185,BEL,23.6112251882,71,0,100653,3,"",Andres Gomez,L,193,ECU,22.8501026694,15,0,7$5 6$1,3,QF,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,43,100434,4,"",Tomas Smid,R,190,CZE,26.6228610541,23,0,100345,"","",Pat Dupre,R,190,USA,28.2984257358,82,0,7$5 6$2,3,QF,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,44,101062,2,"",Mats Wilander,R,183,SWE,18.3655030801,7,0,100752,"","",Ramesh Krishnan,R,170,IND,21.5797399042,100,0,6$1 6$1,3,QF,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,45,100555,1,"",Jose Luis Clerc,R,185,ARG,24.3832991102,6,0,100599,"","",Bernard Boileau,R,185,BEL,23.6112251882,71,0,6$1 6$2,3,SF,,,,,,,,,,,,,,,,,,,,1983
1983$201,Guaruja,Hard,64,A,19830124,46,101062,2,"",Mats Wilander,R,183,SWE,18.3655030801,7,0,100434,4,"",Tomas Smid,R,190,CZE,26.6228610541,23,0,6$1 6$4,3,SF,,,,,,,,,,,,,,,,,,,,1983
